Name,Source,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Resistances,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Range Long,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Range Long,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Range Long,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Range Long,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3/Day,2/Day,1/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
Aarakocra Aeromancer,2024 Monster Manual,Medium,Elemental (Aarakocra),Neutral,"Mountain, Planar (Elemental Plane of Air)","Mountain, Planar",Elemental Plane of Air,"Implements, Individual",16,66,3,20,,,50,,,0,1,3,3,1,1,0,1,5,5,1,1,"Arcana, Nature",Perception,,,,,,,,,17,"Aarakocra, Primordial (Auran)",4,"1,100",2,,,3,Melee,5,5,,,18,"Bludgeoning, Lightning",Ranged,5,120,120,,18,"Bludgeoning, Lightning",,,,,,,,,,,,,,,,,,Wisdom,13,"Dexterity, Strength",5,"Elementalism, Gust of Wind, Mage Hand, Message",,,"Lightning Bolt, Feather Fall",,Feather Fall cast feather fall,,,,,,,,,,,
Aarakocra Skirmisher,2024 Monster Manual,Medium,Elemental (Aarakocra),Neutral,"Mountain, Planar (Elemental Plane of Air)","Mountain, Planar",Elemental Plane of Air,"Implements, Individual",12,11,2,20,,,50,,,0,0,2,1,1,0,0,0,2,1,1,0,,Perception,,,,,,,,,15,"Aarakocra, Primordial (Auran)",1/4,50,2,,,1,Melee,4,5,,,4,Slashing,Melee,4,5,,,7,"Piercing, Thunder",Ranged,4,30/120,30,120,7,"Piercing, Thunder",,,,,,,,,,Atk 1 if  moving 30ft+ 9 damage,,,,,,,,,,,,,,,,,,,,,
Aberrant Cultist,2024 Monster Manual,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",14,137,7,30,,,,,,0,3,4,4,1,2,0,6,4,7,1,2,"Arcanna, Perception, Religion",,,,,,,90,,,17,"Common, Deep Speech, Telepathy",8,"3,900",3,,,2,Melee,7,10,,,21,"Slashing, Psychic",,,,,,,,,,,,,,,,,,,,,,15,Wisdom,"Atk 1 on hit grappled and restrained, Mind Rot within 90ft on fail poisoned",Wisdom,15,"Constitution, Wisdom",7,"Detect Thoughts, Minor Illusion",,Counterspell,,,Counterspell cast counterspell,,,,,,,,,,,
Aboleth,2024 Monster Manual,Large,Aberration,Lawful Evil,"Underdark, Underwater","Underdark, Underwater",,Relics,17,150,7,10,,,,,40,5,4,-1,2,2,4,5,8,3,6,6,4,,"History, Perception",,,,,120,,,,20,"Deep Speech, Telepathy",10,"5,900",4,"Amphibious, Eldritch Restoration, Mucus Cloud, Probing Telepathy",3,3,Melee,9,15,,,12,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,16,"Intelligence, Wisdom","Akt 1 grapples, 30ft that is charmed or grappled takes 10 psychic damage and gains memories if target is reduced to 0, 30ft charmes",,,,,,,,,,,3,,,Makes another attack or regains 5hp,Yes,"7,200",4,4,15,Constitution,"On fail poisoned, Cast Project Image with a 1 mile range"
Abominable Yeti,2024 Monster Manual,Huge,Monstrosity,Chaotic Evil,Arctic,Arctic,,Any,15,137,4,40,,40,,,,7,-1,0,1,6,-1,7,-1,0,1,6,-1,,"Perception, Stealth",,,,Cold,,60,,,19,Yeti,9,"5,000",4,Fear of Fire,,3,Melee,11,5,,,21,"Slashing, Cold",Ranged,11,60/240,60,240,19,"Bludgeoning, Cold",,,,,,,,,,,,,,,18,Constitution,"Chilling Gaze within 30ft on fail 21 cold damage and paralyzed, Cold Breath recharges on 6 30ft cone on fail 45 cold damage",,,,,,,,,,,,,,,,,,,,,
Adult Black Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Chaotic Evil,Swamp,Swamp,,Relics,19,195,12,40,,,80,,40,6,2,2,1,5,4,6,2,7,6,5,4,Stealth,Perception,,,,Acid,60,120,,,21,"Common, Draconic",14,"11,500",5,Amphibious,3,3,Melee,11,10,,,17,"Slashing, Acid",Ranged,9,90,90,,32,Acid,,,,,,,,,,,,,,,18,Dexterity,"Acid Breath recharges on 5-6 Dex save 60ft 5ft wide line 54 Acid, Akt 2 is a casting of Melf's Acid Arrow",Charisma,17,"Dexterity, Wisdom",9,"Detect Magic, Fear, Melf's Acid Arrow (3rd level)",,,"Speak with Dead, Vitriolic Sphere",,,3,17,"Dexterity, Wisdom","22 poison and disadv on con. saves,  Frightful Presence, Pounce",Yes,"13,000",4,4,15,Constitution,On fail Poisoned
Adult Blue Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Lawful Evil,"Coastal, Desert","Coastal, Desert",,Relics,19,212,10,40,30,,80,,,7,3,0,2,6,5,7,3,5,7,6,5,Stealth,Perception,,,,Lightning,60,120,,,22,"Common, Draconic",16,"15,000",5,,3,3,Melee,12,10,,,21,"Slashing, Lighting",Range AOE,,60,,,14,Thunder,,,,,,,,,,,,,,,19,Dexterity,Lightning Breath recharges on 5-6 90ft 5ft wide line 60 lightning,Charisma,18,"Constitution, Wisdom",10,"Detect Magic, Invincibility, Mage Hand, Shatter",,,"Scrying, Sending",,,3,18,Constitution,"Cast invisibility and fly 1/2, Cast shatter, Makes an attack",Yes,"18,000",4,4,15,Dexterity,On fail fall into a 2d4 * 10 hole
Adult Brass Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Chaotic Good,Desert,Desert,,Arcana,18,172,10,40,30,,80,,,6,2,0,1,5,3,6,2,5,6,5,3,"History, Persuasion, Stealth",Perception,,,,Fire,60,120,,,21,"Common, Draconic",13,"10,000",5,,3,3,Melee,11,10,,,21,"Slashing, Fire",Ranged,8,120,120,,21,Fire,,,,,,,,,,,,,,,18,"Dexterity, Constitution","Akt 2 is casting scorching ray, Fire Breath recharges on 5-6 60ft 5ft wide line 45 fire damage, Sleep Breath 60ft coone cause incapacitated and possibly unconscious",Charisma,16,Wisdom,8,"Detect Magic, Minor Illusion, Scorching Ray, Shapechange, Speak with Animals",,,"Detect Thoughts, Control Weather",,,3,16,Dexterity,"Cast scorching Ray, Pounce, 27 fire damage and 1/2 speed of target's",Yes,"11,500",4,4,,,Can cast Major Image
Adult Bronze Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Lawful Good,Coastal,Coastal,, Implements,18,212,10,40,,,80,,40,7,3,0,2,6,5,7,3,5,7,6,5,"Insight, Stealth",Perception,,,,Lightning,60,120,,,22,"Common, Draconic",15,"13,000",5,Amphibious,3,3,Melee,12,10,,,21,"Slashing, Lighting",Ranged,10,120,120,,18,Radiant,,,,,,,,,,,,,,,19,"Dexterity, Strength","Akt 2 is casting Guiding Bolt (level 2), Lightning Breath recharges on 5-6 90ft 5ft wide line 55 lightning, Repulsion Breath 30ft coone targets are pushed 60ft and are prone",Charisma,17,Wisdom,10,"Detect Magic, Guiding Bolt (level 2), Shapechange, Speak with Animals, Thaumaturgy",,,"Detect Thoughts, Water Breathing",,,3,17,Constitution,"Cast Guiding Bolt, Pounce, 10 thunder damage and makes deafened",Yes,"15,000",4,4,,,Can cast Control Weather
Adult Copper Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,18,184,11,40,,40,80,,,6,4,1,2,5,4,6,4,6,7,5,4,"Deception, Stealth",Perception,,,,Acid,60,120,,,22,"Common, Draconic",14,"11,500",5,,3,3,Melee,11,10,,,21,"Slashing, Acid",Ranged,,120,120,,23,Psychic,,,,,,,,,,,,,,,18,"Dexterity, Constitution","Akt 2 is casting mind spike (level 4), Acid Breath recharges on 5-6 60ft 5ft wide line 54 acid damage, Slowing Breath 60ft coone target's speed is halved and can't take reactions, and either an action or bonus action",Charisma,17,Wisdom,9,"Detect Magic, Mind Spike (level 4), Minor Illusion, Shapechange",,,"Greater Restoration, Major Image",,,3,17,Charisma,"24 psychic damage and -1d6 on ability checks and attack rolls, Cast Mind Spike (level 4), Pounce",Yes,"13,000",4,4,15,Wisdom,On fail incapacitated
Adult Deep Dragon, Forgotten Realms: Adventures in Faer没n,Huge,Dragon,Neutral Evil,Underdark,Underdark,,Arcana,17,161,10,40,30,,80,,40,5,3,2,3,3,4,5,3,6,7,3,4,,"Perception, Stealth",,"Poison, Psychic","Charmed, Frightened, Poisoned",,60,150,,,21,"Common, Draconic, Undercommon",11,"7,200",4,,3,3,Melee,9,10,,,19,"Slashing, Poison",,,,,,,,,,,,,,,,,,,,,,15,Wisdom,30ft Cone on fail 38 psychic damage and frightened,,,,,,,,,Shap-Shift,,3,15,Constitution,"Pounce: move 1/2 speed and atk, Spore Salvo 30ft on fail save 13 poison and poisoned",Yes,"8,400",4,4,,,"Preservation of Knowledge: Books and other written forms of communication within 1 mile is protected, Restless Sleep: DC 10 Con on fail do not reduce exhaustion level, Verdant Growth: Plants grow faster"
Adult Gold Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Lawful Good,"Forest, Grassland","Forest, Grassland",,Arcana,19,243,14,40,,,80,,40,8,3,2,2,7,7,8,3,8,8,7,7,"Insight, Persuasion, Stealth",Perception,,,,Fire,60,120,,,24,"Common, Draconic",17,"18,000",6,Amphibious,3,3,Melee,14,10,,,21,"Slashing, Fire",Ranged,13,120,120,,18,Radiant,,,,,,,,,,,,,,,21,"Dexterity, Strength","Akt 2 is casting guiding bolt (level 2), Fire Breath recharge on 5-6 60ft coone 66 fire damage, Waking Breath 60ft coone disadvantage on strength-based rolls and -3 on damage rolls",Charisma,21,"Charisma, Dexterity",13,"Detect Magic, Guiding Bolt (level 2), shapechange",,,"Flame Strike, Zone of Truth",,,3,21,Charisma,"One target in 120ft 10 force damage and is incapacitated, Cast Guiding Bolt (level 2), Pounce",Yes,"20,000",4,4,,,Can cast Dream up to 6 miles
Adult Green Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Lawful Evil,Forest,Forest,,Arcana,19,207,11,40,,,80,,40,6,4,1,2,5,4,6,4,6,7,5,4,"Deception, Persuasion, Stealth",Perception,,,Poisoned,Poison,60,120,,,22,"Common, Draconic",15,"13,000",5,Amphibious,3,3,Melee,11,10,,,22,"Slashing, Poison",Ranged,,120,120,,14,Psychic,,,,,,,,,,,,,,,18,Constitution,"Akt 2 is casting Mind Spike (level 3), Poison Breath recharge 5-6 60ft coone 56 poison damage",Charisma,17,Wisdom,9,"Detect Magic, Mind Spike (level 3)",,,Geas,,,3,17,Constitution,"Cast Mind Spike (level 3), 20ft Sphere 7 poison damage and -2 to AC, Pounce",Yes,"15,000",4,4,15,Constitution,On fail Poisoned
Adult Red Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Chaotic Evil,"Hill, Mountain","Hill, Mountain",,Any,19,256,12,40,,40,80,,,8,3,0,1,7,6,8,3,6,7,7,6,Stealth,Perception,,,,Fire,60,120,,,23,"Common, Draconic",17,"18,000",6,,3,3,Melee,14,10,,,18,"Slashing, Fire",Ranged,12,120,120,,21,Fire,,,,,,,,,,,,,,,21,Dexterity,"Akt 2 is casting Scorching Ray, Fire Breath recharge on 5-6 60ft coone 59 fire damage",Charisma,20,"Dexterity, Wisdom",12,"Command (level 2), Detect Magic, Scorching Ray",,,Fireball,,,3,20,Wisdom,"Cast Command (level 2), Cast Scorching Ray, Pounce",Yes,"20,000",4,4,15,Constitution,On fail Poisoned
Adult Silver Dragon,2024 Monster Manual,Huge,Dragon (Metallic),Lawful Good,"Mountain, Urban","Mountain, Urban",,Arcana,19,216,10,40,,,80,,,8,3,0,1,7,6,8,3,5,6,7,6,"History, Stealth",Perception,,,,Cold,60,120,,,21,"Common, Draconic",16,"15,000",5,,3,3,Melee,13,10,,,21,"Slashing, Cold",Ranged,11,60,60,,12,"Piercing, Cold",,,,,,,,,,,,,,,,20,Constitution,"Akt 2 is casting ice knife and failing the saving through, Cold Breath 60ft coone 54 cold damage, Paralyzing breath 60ft coone on fail incapacitated second fail paralyzed",Charisma,19,"Charisma, Dexterity, Wisdom",11,"Detect Magic, Hold Monster, Ice Knife, Shapechange",,,"Ice Storm (level 5), Zone of Truth",,,3,18,Dexterity,"Cast Hold Monster, 60ft long 10ft wide 14 cold damage and target is pushed 30ft, Pounce",Yes,"18,000",4,4,,,Cast Control Weather
Adult Spirit Dragon, Forgotten Realms: Adventures in Faer没n,Huge,Dragon,Neutral,Any,Any,,Any,18,207,7,40,30,,80,,,6,5,2,2,5,4,6,5,7,2,10,4,"History, Insight, Perception, Stealth",,,Necrotic,,,30,120,,,17,"Common, Draconic, telepathy",15,"13,000",5,,3,3,Melee,11,10,,,22,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,18,"Constitution, Wisdom","Ruinous Breath: 60ft cone con save on fail 63 necrotic damage, TimeWarping Breath: 60ft cone wis save on fail target's speed is 1/2 and can only take a bonus action or an action",Intelligence,18,,10,"Detect Magic, Shapechange, Thunderwave",,,Legend Lore,,,3,18,Strength,"Pounce: move 1/2 speed and atk, Shattering Wave: cast thunderwave, Unearth Ruins: 20ft radius 60ft high cylinder within 120ft diffcult terrain on fail save 5 bludgeoning and prone",Yes,"15,000",4,4,18,Strength,"Enchanted Acoustics: Creatures within a mile have advantage on perfomance checks involving singing or playing music and have disadvantage on being charmed, Time Distortion: Creatures age 1/10 the speed."
Adult White Dragon,2024 Monster Manual,Huge,Dragon (Chromatic),Chaotic Evil,Arctic,Arctic,,Arcana,18,200,10,40,30,,80,,40,6,-1,0,1,6,1,6,-1,5,6,6,1,Stealth,Perception,,,,Cold,60,120,,,21,"Common, Draconic",13,"10,000",5,Ice Walk,3,3,Melee,11,10,,,17,"Slashing, Cold",,,,,,,,,,,,,,,,,,,,,,19,"Constitution, Wisdom",Cold Breath 60ft coone 54 cold damage,,,,,,,,,,,3,14,Constitution,"30ft sphere 7 cold damage and speed reduced to 0, Cast Fear, Pounce",Yes,"11,500",4,4,15,Constitution,On fail speed reduced by 10ft
Air Elemental,2024 Monster Manual,Large,Elemental,Neutral,"Desert, Mountain, Planar (Elemental Plane of Air)","Desert, Mountain, Planar",Elemental Plane of Air,None,15,90,5,10,,,90,90,,2,-2,5,0,2,-2,2,-2,5,0,2,-2,,,,"Bludgeoning, Lightning, Piercing, Slashing","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","Poison, Thunder",,60,,,10,Primordial (Auran),5,"1,800",3,Air Form,,2,Melee,8,10,,,14,Thunder,,,,,,,,,,,,,,,,,,,,,,13,Strength,Whirlwind recharges on 5-6 one target on fail 24 thunder damage pushed 20ft and prone,,,,,,,,,,,,,,,,,,,,,
Allosaurus,2024 Monster Manual,Large,Beast (Dinosaur),Unaligned,Grassland,Grassland,,None,13,51,1,60,,,,,,4,-4,1,1,3,-3,4,-4,1,1,3,-3,,Perception,,,,,,,,,15,None,2,450,2,,,1,Melee,6,5,,,15,Piercing,,6,,,,8,Slashing,,,,,,,,,,,,,,,,,Claw attack give prone condition,,,,,,,,,,,,,,,,,,,,,
Ancient Black Dragon,2024 Monster Manual,Gargantuan,Dragon (Chromatic),Chaotic Evil,Swamp,Swamp,,Relics,22,367,16,40,,,80,,40,8,3,2,2,7,6,8,3,7,7,7,6,Stealth,Perception,,,,Acid,60,120,,,26,"Common, Draconic",21,"33,000",7,Amphibious,4,3,Melee,15,15,,,26,"Slashing, Acid",Ranged,13,90,90,,41,Acid,,,,,,,,,,,,,,,22,Dexterity,"Acid Breath recharges on 5-6 Dex save 90ft 10ft wide line 67 Acid, Akt 2 is a casting of Melf's Acid Arrow",Charisma,21,"Dexterity, Wisdom",13,"Detect Magic, Fear, Melf's Acid Arrow (4th level)",,,"Create Undead, Speak with Dead, Vitriolic Sphere (5th Level)",,,3,21,"Dexterity, Wisdom","33 poison and disadv on con. saves,  Frightful Presence, Pounce",Yes,"41,000",5,4,15,Constitution,On fail Poisoned
Ancient Blue Dragon,2024 Monster Manual,Gargantuan,Dragon (Chromatic),Lawful Evil,"Coastal, Desert","Coastal, Desert",,Relics,22,481,14,40,40,,80,,,9,4,0,3,8,7,9,4,7,10,8,7,Stealth,Perception,,,,Lightning,60,120,,,27,"Common, Draconic",23,"50,000",7,,4,3,Melee,16,5,,,29,"Slashing, Lighting",Range AOE,,60,,,18,Thunder,,,,,,,,,,,,,,,23,Dexterity,Lightning Breath recharges on 5-6 120ft 10ft wide line 88 lightning,Charisma,22,"Constitution, Wisdom",14,"Detect Magic, Invincibility, Mage Hand, Shatter (Level 3)",,,"Scrying, Sending",,,3,22,Constitution,"Cast invisibility and fly 1/2, Cast shatter (level 3), Makes an attack",Yes,"62,000",5,4,15,Dexterity,On fail fall into a 2d4 * 10 hole
Ancient Brass Dragon,2024 Monster Manual,Gargantuan,Dragon (Metallic),Chaotic Good,Desert,Desert,,Arcana,20,332,12,40,40,,80,,,8,3,0,2,7,6,8,3,6,8,7,6,"History, Persuasion, Stealth",Perception,,,,Fire,60,120,,,24,"Common, Draconic",20,"25,000",6,,4,3,Melee,14,15,,,26,"Slashing, Fire",Ranged,12,120,120,,28,Fire,,,,,,,,,,,,,,,21,"Dexterity, Constitution","Akt 2 is casting scorching ray (3rd level), Fire Breath recharges on 5-6 90ft 5ft wide line 58 fire damage, Sleep Breath 90ft coone cause incapacitated and possibly unconscious",Charisma,20,Wisdom,12,"Detect Magic, Minor Illusion, Scorching Ray (level 3), Shapechange, Speak with Animals",,,"Detect Thoughts, Control Weather",,,3,20,Dexterity,"Cast scorching Ray (level 3), Pounce, 38 fire damage and 1/2 speed of target's",Yes,"33,000",5,4,,,Can cast Major Image
Ancient Bronze Dragon,2024 Monster Manual,Gargantuan,Dragon (Metallic),Lawful Good,Coastal,Coastal,, Implements,22,444,14,40,,,80,,40,9,4,0,3,8,7,9,4,7,10,8,7,"Insight, Stealth",Perception,,,,Lightning,60,120,,,27,"Common, Draconic",22,"41,000",7,Amphibious,4,3,Melee,16,15,,,27,"Slashing, Lighting",Ranged,10,120,120,,18,Radiant,,,,,,,,,,,,,,,23,"Dexterity, Strength","Akt 2 is casting Guiding Bolt (level 2), Lightning Breath recharges on 5-6 120ft 10ft wide line 82 lightning, Repulsion Breath 30ft coone targets are pushed 60ft and are prone",Charisma,22,Wisdom,14,"Detect Magic, Guiding Bolt (level 2), Shapechange, Speak with Animals, Thaumaturgy",,,"Detect Thoughts, Control Water, Scrying, Water Breathing",,,3,22,Constitution,"Cast Guiding Bolt, Pounce, 13 thunder damage and makes deafened",Yes,"50,000",5,4,,,Can cast Control Weather
Ancient Copper Dragon,2024 Monster Manual,Gargantuan,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,21,367,15,40,,40,80,,,8,5,1,3,7,6,8,5,8,10,7,6,"Deception, Stealth",Perception,,,,Acid,60,120,,,27,"Common, Draconic",21,"33,000",7,,4,3,Melee,15,15,,,28,"Slashing, Acid",Ranged,,120,120,,27,Psychic,,,,,,,,,,,,,,,22,"Dexterity, Constitution","Akt 2 is casting mind spike (level 5), Acid Breath recharges on 5-6 60ft 5ft wide line 54 acid damage, Slowing Breath 60ft coone target's speed is halved and can't take reactions, and either an action or bonus action",Charisma,21,Wisdom,13,"Detect Magic, Mind Spike (level 5), Minor Illusion, Shapechange",,,"Greater Restoration, Major Image, Project Image",,,3,21,Charisma,"31 psychic damage and -1d8 on ability checks and attack rolls, Cast Mind Spike (level 5), Pounce",Yes,"41,000",5,4,15,Wisdom,On fail incapacitated
Ancient Deep Dragon, Forgotten Realms: Adventures in Faer没n,Gargantuan,Dragon,Neutral Evil,Underdark,Underdark,,Arcana,20,247,15,40,40,,80,,40,6,4,3,4,6,5,6,4,9,10,6,5,,"Perception, Stealth",,"Poison, Psychic","Charmed, Frightened, Poisoned",,60,300,,,26,"Common, Draconic, Undercommon",18,"20,000",3,,4,3,Melee,12,15,,,22,"Slashing, Poison",,,,,,,,,,,,,,,,,,,,,,20,Wisdom,90ft Cone on fail 44 psychic damage and frightened,,,,,,,,,Shap-Shift,,3,20,Constitution,"Pounce: move 1/2 speed and atk, Spore Salvo 30ft on fail save 13 poison and poisoned",Yes,"22,000",5,4,,,"Preservation of Knowledge: Books and other written forms of communication within 1 mile is protected, Restless Sleep: DC 10 Con on fail do not reduce exhaustion level, Verdant Growth: Plants grow faster"
Ancient Gold Dragon,2024 Monster Manual,Gargantuan,Dragon (Metallic),Lawful Good,"Forest, Grassland","Forest, Grassland",,Arcana,22,546,16,40,,,80,,40,10,4,2,3,9,9,10,4,9,10,9,9,"Insight, Persuasion, Stealth",Perception,,,,Fire,60,120,,,27,"Common, Draconic",24,"62,000",7,Amphibious,4,3,Melee,17,15,,,28,"Slashing, Fire",Ranged,16,120,120,,25,Radiant,,,,,,,,,,,,,,,24,"Dexterity, Strength","Akt 2 is casting guiding bolt (level 4), Fire Breath recharge on 5-6 90ft coone 71 fire damage, Waking Breath 90ft coone disadvantage on strength-based rolls and -5 on damage rolls",Charisma,24,"Charisma, Dexterity",16,"Detect Magic, Guiding Bolt (level 4), shapechange",,,"Flame Strike (Level 6), Word of Recall, Zone of Truth",,,3,24,Charisma,"One target in 120ft 24 force damage and is incapacitated, Cast Guiding Bolt (level 4), Pounce",Yes,"75,000",5,4,,,Can cast Dream up to 6 miles
Ancient Green Dragon,2024 Monster Manual,Gargantuan,Dragon (Chromatic),Lawful Evil,Forest,Forest,,Arcana,21,402,15,40,,,80,,40,8,5,1,3,7,6,8,5,8,10,7,6,"Deception, Persuasion, Stealth",Perception,,,Poisoned,Poison,60,120,,,27,"Common, Draconic",22,"41,000",7,Amphibious,4,3,Melee,15,15,,,27,"Slashing, Poison",Ranged,,120,120,,21,Psychic,,,,,,,,,,,,,,,22,Constitution,"Akt 2 is casting Mind Spike (level 5), poison Breath recharge 5-6 90ft coone 77 poison damage",Charisma,21,Wisdom,13,"Detect Magic, Mind Spike (level 5)",,,"Geas, Modify Memory",,,4,21,Constitution,"Cast Mind Spike (level 5), 30ft Sphere 17 poison damage and -2 to AC, Pounce",Yes,"50,000",5,4,15,Constitution,On fail Poisoned
Ancient Red Dragon,2024 Monster Manual,Gargantuan,Dragon (Chromatic),Chaotic Evil,"Hill, Mountain","Hill, Mountain",,Any,22,507,14,40,,40,80,,,10,4,0,2,9,8,10,4,7,9,9,8,Stealth,Perception,,,,Fire,60,120,,,26,"Common, Draconic",24,"62,000",7,,4,3,Melee,17,15,,,29,"Slashing, Fire",Ranged,15,120,120,,28,Fire,,,,,,,,,,,,,,,24,Dexterity,"Akt 2 is casting Scorching Ray (Level 3), Fire Breath recharge on 5-6 90ft coone 91 fire damage",Charisma,23,"Dexterity, Wisdom",15,"Command (level 2), Detect Magic, Scorching Ray (level 3)",,,"Fireball (level 6), Scrying",,,3,23,Wisdom,"Cast Command (level 2), Cast Scorching Ray (level 3), Pounce",Yes,"75,000",5,4,15,Constitution,On fail Poisoned
Ancient Silver Dragon,2024 Monster Manual,Gargantuan,Dragon (Metallic),Lawful Good,"Mountain, Urban","Mountain, Urban",,Arcana,22,468,14,40,,,80,,,10,4,0,2,9,8,10,4,7,9,9,8,"History, Stealth",Perception,,,,Cold,60,120,,,26,"Common, Draconic",23,"50,000",7,,4,3,Melee,17,15,,,28,"Slashing, Cold",Ranged,15,60,60,,16,"Piercing, Cold",,,,,,,,,,,,,,,,24,Constitution,"Akt 2 is casting ice knife (level 2) and failing the saving through, Cold Breath 60ft coone 54 cold damage, Paralyzing breath 60ft coone on fail incapacitated second fail paralyzed",Charisma,23,"Charisma, Dexterity, Wisdom",15,"Detect Magic, Hold Monster, Ice Knife (level 2), Shapechange",,,"Ice Storm (level 7), Teleport, Zone of Truth",,,3,23,Dexterity,"Cast Hold Monster, 60ft long 10ft wide 14 cold damage and target is pushed 30ft, Pounce",Yes,"62,000",5,4,,,Cast Control Weather
Ancient Spirit Dragon, Forgotten Realms: Adventures in Faer没n,Gargantuan,Dragon,Neutral,Any,Any,,Any,21,420,9,40,30,,80,,,8,7,2,4,7,6,8,7,9,4,14,6,"History, Insight, Perception, Stealth",,,Necrotic,,,60,120,,,21,"Common, Draconic, telepathy",22,"41,000",7,,4,3,Melee,15,15,,,28,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,22,"Constitution, Wisdom","Ruinous Breath: 60ft cone con save on fail 63 necrotic damage, TimeWarping Breath: 60ft cone wis save on fail target's speed is 1/2 and can only take a bonus action or an action",Intelligence,22,,14,"Detect Magic, Shapechange, Thunderwave",,,"Legend Lore, Sequester",,,3,22,Strength,"Pounce: move 1/2 speed and atk, Shattering Wave: cast thunderwave, Unearth Ruins: 20ft radius 60ft high cylinder within 120ft diffcult terrain on fail save 5 bludgeoning and prone",Yes,"50,000",5,4,18,Strength,"Enchanted Acoustics: Creatures within a mile have advantage on perfomance checks involving singing or playing music and have disadvantage on being charmed, Time Distortion: Creatures age 1/10 the speed."
Ancient White Dragon,2024 Monster Manual,Gargantuan,Dragon (Chromatic),Chaotic Evil,Arctic,Arctic,,Arcana,20,333,12,40,40,,80,,40,8,0,0,1,8,4,8,0,6,7,8,4,Stealth,Perception,,,,Cold,60,120,,,23,"Common, Draconic",20,"25,000",6,Ice Walk,4,3,Melee,14,15,,,24,"Slashing, Cold",,,,,,,,,,,,,,,,,,,,,,22,"Constitution, Wisdom",Cold Breath 90ft coone 63 cold damage,,,,,,,,,,,3,20,Constitution,"30ft sphere 14 cold damage and speed reduced to 0, Cast Fear, Pounce",Yes,"33,000",5,4,15,Constitution,On fail speed reduced by 10ft
